ID,PIN,Signal,Signal.1,Probe,INICIAL,TYPE,PORCENT,Barrel
GFX111:,    Pin:1, Signal:UNCONNECTED_15, Orig_Signal:UNCONNECTED_15, Probed,GFX,0,0,0
GFX112:,    Pin:1, Signal:UNCONNECTED_14, Orig_Signal:UNCONNECTED_14, Probed,GFX,0,0,0
J301:,    Pin:1, Signal:UNCONNECTED_6, Orig_Signal:UNCONNECTED_6, NotProbed,J,CON,0,0
J301:,    Pin:2, Signal:UNCONNECTED_7, Orig_Signal:UNCONNECTED_7, NotProbed,J,CON,0,0
J301:,    Pin:3, Signal:UNCONNECTED_8, Orig_Signal:UNCONNECTED_8, NotProbed,J,CON,0,0
J301:,    Pin:4, Signal:UNCONNECTED_9, Orig_Signal:UNCONNECTED_9, NotProbed,J,CON,0,0
J301:,    Pin:6, Signal:UNCONNECTED_11, Orig_Signal:UNCONNECTED_11, NotProbed,J,CON,0,0
J301:,    Pin:7, Signal:UNCONNECTED_12, Orig_Signal:UNCONNECTED_12, NotProbed,J,CON,0,0
J301:,    Pin:8, Signal:3_3V, Orig_Signal:3.3V, Probed,J,CON,0,0
J301:,    Pin:5, Signal:UNCONNECTED_10, Orig_Signal:UNCONNECTED_10, NotProbed,J,CON,0,0
J301:,    Pin:9, Signal:NetJ301_2, Orig_Signal:NetJ301_2, Probed,J,CON,0,0
J301:,    Pin:10, Signal:NetJ301_3, Orig_Signal:NetJ301_3, Probed,J,CON,0,0
J301:,    Pin:11, Signal:NetJ301_4, Orig_Signal:NetJ301_4, Probed,J,CON,0,0
J301:,    Pin:12, Signal:GND, Orig_Signal:GND, Probed,J,CON,0,0
J301:,    Pin:13, Signal:UNCONNECTED_13, Orig_Signal:UNCONNECTED_13, NotProbed,J,CON,0,0
J302:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,J,CON,0,0
J302:,    Pin:2, Signal:UNCONNECTED_4, Orig_Signal:UNCONNECTED_4, Probed,J,CON,0,0
