ID,PIN,Signal,Signal.1,Probe,INICIAL,TYPE,PORCENT,Barrel,SURFACE,TEST
C619:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed,C,CAP,,100, TOP,Fail
C619:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C620:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed,C,CAP,,100, TOP,Fail
C620:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
D201:,    Pin:2, Signal:NetD201_K, Orig_Signal:NetD201_K, NotProbed,D,DIODE,,0,0,Fail
D201:,    Pin:1, Signal:CP, Orig_Signal:CP, Probed,D,DIODE,50.0,100, BOTTOM,Fail
D202:,    Pin:2, Signal:NetD201_K, Orig_Signal:NetD201_K, NotProbed,D,DIODE,,0,0,Fail
D202:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,D,DIODE,50.0,100, BOTTOM,Fail
D203:,    Pin:2, Signal:NetD203_CAT, Orig_Signal:NetD203_CAT, NotProbed,D,DIODE,,0,0,Fail
D203:,    Pin:1, Signal:NetD203_AN, Orig_Signal:NetD203_AN, NotProbed,D,DIODE,,0,0,Fail
D204:,    Pin:2, Signal:3_3V, Orig_Signal:3.3V, Probed,D,DIODE,,100, TOP,Fail
D204:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,D,DIODE,,100, BOTTOM,Fail
D204:,    Pin:3, Signal:NetD204_3, Orig_Signal:NetD204_3, NotProbed,D,DIODE,66.66666666666666,0,0,Pass
D401:,    Pin:1, Signal:NetC404_1, Orig_Signal:NetC404_1, NotProbed,D,DIODE,,0,0,Fail
D401:,    Pin:2, Signal:NetD401_CAT, Orig_Signal:NetD401_CAT, NotProbed,D,DIODE,,0,0,Fail
D402:,    Pin:2, Signal:NetC403_2, Orig_Signal:NetC403_2, NotProbed,D,DIODE,,0,0,Fail
D402:,    Pin:1, Signal:NetD401_CAT, Orig_Signal:NetD401_CAT, NotProbed,D,DIODE,,0,0,Fail
D410:,    Pin:1, Signal:NetC403_2, Orig_Signal:NetC403_2, NotProbed,D,DIODE,,0,0,Fail
D410:,    Pin:2, Signal:NetD410_K, Orig_Signal:NetD410_K, NotProbed,D,DIODE,,0,0,Fail
D411:,    Pin:2, Signal:NetD410_K, Orig_Signal:NetD410_K, NotProbed,D,DIODE,,0,0,Fail
D411:,    Pin:1, Signal:NetC403_1, Orig_Signal:NetC403_1, NotProbed,D,DIODE,,0,0,Fail
D501:,    Pin:2, Signal:12V_A, Orig_Signal:12V_A, NotProbed,D,DIODE,,0,0,Fail
D501:,    Pin:3, Signal:NetC501_2, Orig_Signal:NetC501_2, NotProbed,D,DIODE,,0,0,Fail
D501:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed,D,DIODE,33.33333333333333,100, TOP,Fail
D502:,    Pin:3, Signal:NetC504_2, Orig_Signal:NetC504_2, NotProbed,D,DIODE,,0,0,Fail
D502:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed,D,DIODE,,100, TOP,Fail
D502:,    Pin:2, Signal:12V_A, Orig_Signal:12V_A, NotProbed,D,DIODE,33.33333333333333,0,0,Fail
D503:,    Pin:2, Signal:P12V, Orig_Signal:+12V, Probed,D,DIODE,,100, BOTTOM,Fail
D503:,    Pin:1, Signal:NetD503_AN, Orig_Signal:NetD503_AN, NotProbed,D,DIODE,50.0,0,0,Fail
D504:,    Pin:2, Signal:NetD504_K, Orig_Signal:NetD504_K, NotProbed,D,DIODE,,0,0,Fail
D504:,    Pin:1, Signal:L1_1, Orig_Signal:L1-1, Probed,D,DIODE,50.0,100, BOTTOM,Fail
D505:,    Pin:3, Signal:NetC506_2, Orig_Signal:NetC506_2, NotProbed,D,DIODE,,0,0,Fail
D505:,    Pin:2, Signal:NetD503_AN, Orig_Signal:NetD503_AN, NotProbed,D,DIODE,,0,0,Fail
D505:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,D,DIODE,33.33333333333333,100, BOTTOM,Fail
D506:,    Pin:1, Signal:L2_N_1, Orig_Signal:L2/N-1, Probed,D,DIODE,,100, BOTTOM,Fail
D506:,    Pin:2, Signal:NetD506_K, Orig_Signal:NetD506_K, NotProbed,D,DIODE,50.0,0,0,Fail
D507:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,D,DIODE,,100, BOTTOM,Fail
D507:,    Pin:3, Signal:UNCONNECTED_79, Orig_Signal:UNCONNECTED_79, NotProbed,D,DIODE,,0,0,Fail
D507:,    Pin:2, Signal:NetD507_K, Orig_Signal:NetD507_K, NotProbed,D,DIODE,33.33333333333333,0,0,Fail
D508:,    Pin:1, Signal:L1_2, Orig_Signal:L1-2, Probed,D,DIODE,,100, BOTTOM,Fail
D508:,    Pin:2, Signal:NetD508_K, Orig_Signal:NetD508_K, NotProbed,D,DIODE,50.0,0,0,Fail
D509:,    Pin:1, Signal:NetD509_1, Orig_Signal:NetD509_1, NotProbed,D,DIODE,,0,0,Fail
D509:,    Pin:2, Signal:P12V, Orig_Signal:+12V, Probed,D,DIODE,,100, BOTTOM,Fail
D509:,    Pin:3, Signal:NetC511_2, Orig_Signal:NetC511_2, NotProbed,D,DIODE,33.33333333333333,0,0,Fail
D510:,    Pin:2, Signal:NetD510_K, Orig_Signal:NetD510_K, NotProbed,D,DIODE,,0,0,Fail
D510:,    Pin:1, Signal:L2_N_2, Orig_Signal:L2/N-2, NotProbed,D,DIODE,,0,0,Fail
D511:,    Pin:2, Signal:NetD511_K, Orig_Signal:NetD511_K, Probed,D,DIODE,,75, BOTTOM,Fail
D511:,    Pin:1, Signal:NetD511_A, Orig_Signal:NetD511_A, NotProbed,D,DIODE,50.0,0,0,Fail
D512:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,D,DIODE,,100, BOTTOM,Fail
D512:,    Pin:2, Signal:NetD509_1, Orig_Signal:NetD509_1, NotProbed,D,DIODE,50.0,0,0,Fail
D513:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,D,DIODE,,100, BOTTOM,Fail
D513:,    Pin:2, Signal:NetD511_A, Orig_Signal:NetD511_A, NotProbed,D,DIODE,50.0,0,0,Fail
D601:,    Pin:2, Signal:NetD601_K, Orig_Signal:NetD601_K, NotProbed,D,DIODE,,0,0,Fail
D601:,    Pin:1, Signal:NetD601_A, Orig_Signal:NetD601_A, Probed,D,DIODE,50.0,100, BOTTOM,Fail
D602:,    Pin:2, Signal:NetD601_K, Orig_Signal:NetD601_K, NotProbed,D,DIODE,,0,0,Fail
D602:,    Pin:1, Signal:NetC603_1, Orig_Signal:NetC603_1, Probed,D,DIODE,50.0,100, BOTTOM,Fail
F201:,    Pin:1, Signal:NetF201_1, Orig_Signal:NetF201_1, NotProbed,F,FUSE,,0,0,Fail
F201:,    Pin:2, Signal:P12V, Orig_Signal:+12V, Probed,F,FUSE,50.0,100, BOTTOM,Fail
FB101:,    Pin:1, Signal:NetFB101_1, Orig_Signal:NetFB101_1, Probed,FB,FBEAD,,100, BOTTOM,Fail
FB101:,    Pin:2, Signal:N12V_A, Orig_Signal:-12V_A, Probed,FB,FBEAD,100.0,100, TOP,Pass
FB301:,    Pin:1, Signal:3_3V, Orig_Signal:3.3V, Probed,FB,FBEAD,,100, TOP,Fail
FB301:,    Pin:2, Signal:NetC309_1, Orig_Signal:NetC309_1, NotProbed,FB,FBEAD,50.0,0,0,Fail
FB501:,    Pin:1, Signal:NetFB501_1, Orig_Signal:NetFB501_1, Probed,FB,FBEAD,,75, BOTTOM,Fail
FB501:,    Pin:2, Signal:NetFB501_2, Orig_Signal:NetFB501_2, Probed,FB,FBEAD,100.0,50, BOTTOM,Pass
FB502:,    Pin:1, Signal:NetFB502_1, Orig_Signal:NetFB502_1, Probed,FB,FBEAD,,50, BOTTOM,Fail
FB502:,    Pin:2, Signal:NetFB502_2, Orig_Signal:NetFB502_2, Probed,FB,FBEAD,100.0,75, BOTTOM,Pass
FB601:,    Pin:1, Signal:P12V, Orig_Signal:+12V, Probed,FB,FBEAD,,100, BOTTOM,Fail
FB601:,    Pin:2, Signal:12V_A, Orig_Signal:12V_A, NotProbed,FB,FBEAD,50.0,0,0,Fail
GFX107:,    Pin:1, Signal:UNCONNECTED_82, Orig_Signal:UNCONNECTED_82, NotProbed,GFX,0,,0,0,Fail
GFX108:,    Pin:1, Signal:UNCONNECTED_81, Orig_Signal:UNCONNECTED_81, NotProbed,GFX,0,,0,0,Fail
GFX109:,    Pin:1, Signal:UNCONNECTED_80, Orig_Signal:UNCONNECTED_80, NotProbed,GFX,0,,0,0,Fail
GFX110:,    Pin:1, Signal:UNCONNECTED_16, Orig_Signal:UNCONNECTED_16, Probed,GFX,0,100.0,100, TOP,Pass
GFX111:,    Pin:1, Signal:UNCONNECTED_15, Orig_Signal:UNCONNECTED_15, Probed,GFX,0,100.0,100, TOP,Pass
GFX112:,    Pin:1, Signal:UNCONNECTED_14, Orig_Signal:UNCONNECTED_14, Probed,GFX,0,100.0,100, TOP,Pass
J301:,    Pin:1, Signal:UNCONNECTED_6, Orig_Signal:UNCONNECTED_6, NotProbed,J,CON,,0,0,Fail
J301:,    Pin:2, Signal:UNCONNECTED_7, Orig_Signal:UNCONNECTED_7, NotProbed,J,CON,,0,0,Fail
J301:,    Pin:3, Signal:UNCONNECTED_8, Orig_Signal:UNCONNECTED_8, NotProbed,J,CON,,0,0,Fail
J301:,    Pin:4, Signal:UNCONNECTED_9, Orig_Signal:UNCONNECTED_9, NotProbed,J,CON,,0,0,Fail
J301:,    Pin:6, Signal:UNCONNECTED_11, Orig_Signal:UNCONNECTED_11, NotProbed,J,CON,,0,0,Fail
J301:,    Pin:7, Signal:UNCONNECTED_12, Orig_Signal:UNCONNECTED_12, NotProbed,J,CON,,0,0,Fail
J301:,    Pin:8, Signal:3_3V, Orig_Signal:3.3V, Probed,J,CON,,100, TOP,Fail
J301:,    Pin:5, Signal:UNCONNECTED_10, Orig_Signal:UNCONNECTED_10, NotProbed,J,CON,,0,0,Fail
J301:,    Pin:9, Signal:NetJ301_2, Orig_Signal:NetJ301_2, Probed,J,CON,,50, TOP,Fail
J301:,    Pin:10, Signal:NetJ301_3, Orig_Signal:NetJ301_3, Probed,J,CON,,100, TOP,Fail
J301:,    Pin:11, Signal:NetJ301_4, Orig_Signal:NetJ301_4, Probed,J,CON,,75, TOP,Fail
J301:,    Pin:12, Signal:GND, Orig_Signal:GND, Probed,J,CON,,100, BOTTOM,Fail
J301:,    Pin:13, Signal:UNCONNECTED_13, Orig_Signal:UNCONNECTED_13, NotProbed,J,CON,38.46153846153847,0,0,Fail
J302:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,J,CON,,100, BOTTOM,Fail
J302:,    Pin:2, Signal:UNCONNECTED_4, Orig_Signal:UNCONNECTED_4, Probed,J,CON,,100, BOTTOM,Fail
J302:,    Pin:3, Signal:5V, Orig_Signal:5V, Probed,J,CON,,100, BOTTOM,Fail
J302:,    Pin:4, Signal:NetJ302_4, Orig_Signal:NetJ302_4, Probed,J,CON,,100, BOTTOM,Fail
J302:,    Pin:5, Signal:NetJ302_5, Orig_Signal:NetJ302_5, Probed,J,CON,,100, BOTTOM,Fail
J302:,    Pin:6, Signal:UNCONNECTED_5, Orig_Signal:UNCONNECTED_5, Probed,J,CON,100.0,100, BOTTOM,Pass
K401:,    Pin:2, Signal:NetC403_2, Orig_Signal:NetC403_2, NotProbed,K,RELAY,,0,0,Fail
K401:,    Pin:1, Signal:NetC403_1, Orig_Signal:NetC403_1, NotProbed,K,RELAY,,0,0,Fail
K401:,    Pin:4, Signal:L1_1, Orig_Signal:L1-1, Probed,K,RELAY,,100, BOTTOM,Fail
K401:,    Pin:3, Signal:L2_N_1, Orig_Signal:L2/N-1, Probed,K,RELAY,,100, BOTTOM,Fail
K401:,    Pin:6, Signal:L1_2, Orig_Signal:L1-2, Probed,K,RELAY,,100, BOTTOM,Fail
K401:,    Pin:5, Signal:L2_N_2, Orig_Signal:L2/N-2, NotProbed,K,RELAY,50.0,0,0,Fail
L201:,    Pin:2, Signal:5V, Orig_Signal:5V, Probed,L,COIL,,100, BOTTOM,Fail
L201:,    Pin:1, Signal:NetC201_1, Orig_Signal:NetC201_1, Probed,L,COIL,100.0,75, BOTTOM,Pass
L601:,    Pin:1, Signal:NetC602_1, Orig_Signal:NetC602_1, Probed,L,COIL,,100, BOTTOM,Fail
L601:,    Pin:4, Signal:NetC602_2, Orig_Signal:NetC602_2, Probed,L,COIL,,100, BOTTOM,Fail
